count,channel_1,channel_2,channel_3,channel_4,acc_x,acc_y,acc_z,resistance_1,resistance_2,resistance_3,resistance_4,resistance_5,timestamp,marker,class
127.0,-955.686555,-351.169126,-888.332827,-292.505055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.583133,0.0,eyes_blink
128.0,-967.919768,-360.563755,-896.403531,-293.627025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.583953,0.0,eyes_blink
128.0,-968.551811,-383.500561,-913.012426,-300.291527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.583966,0.0,eyes_blink
129.0,-950.757367,-358.267456,-881.11482,-288.293928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.584455,0.0,eyes_blink
129.0,-955.5033,-343.038584,-871.136767,-289.023208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.584476,0.0,eyes_blink
130.0,-944.781007,-356.831335,-890.07188,-293.204417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.613025,0.0,eyes_blink
130.0,-956.019406,-381.694189,-910.536613,-293.627025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.613047,0.0,eyes_blink
131.0,-985.515997,-365.5827,-890.217736,-293.589626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.613276,0.0,eyes_blink
131.0,-1002.091234,-361.072381,-892.233542,-313.138083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.613298,0.0,eyes_blink
132.0,-983.1636,-367.145979,-906.093612,-303.578899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.643023,0.0,eyes_blink
132.0,-970.279645,-373.047541,-910.499214,-297.767095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.643042,0.0,eyes_blink
133.0,-983.690926,-365.171311,-892.790787,-290.706163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.643281,0.0,eyes_blink
133.0,-989.596228,-352.89696,-886.657351,-303.608818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.643303,0.0,eyes_blink
134.0,-965.702007,-368.297868,-903.318606,-293.83646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.643756,0.0,eyes_blink
134.0,-953.188302,-382.154197,-918.162269,-295.897145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.643772,0.0,eyes_blink
135.0,-989.334435,-367.620946,-892.091426,-289.232643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.644614,0.0,eyes_blink
